,t,p,v,q,R,fa,pwm
8924,110.24648122594233,"[0.8779808521382445, -1.4918152444729804, 2.066871196398385]","[0.48677175238347165, 0.26821503343973013, -0.13787521749150727]","[0.017114063876125338, 0.0853287043352176, -0.10474183478144267, -0.9906587622022802]","[[0.9634458345736, -0.20460619099783964, -0.17264837413600637], [0.21044747458367932, 0.9774220277759418, 0.016033424568358302], [0.16547814033219765, -0.05178336477473403, 0.9848017561156539]]","[-0.4335606920500594, -0.009380160407271548, -0.24771008926762939]","[1616.8577504764903, 1689.5533435713162, 1552.2411094047807, 1607.5889059521935]"
8925,110.25648195221149,"[0.8827387207802517, -1.489167332122261, 2.0653272094136934]","[0.46870168991940275, 0.2690394713315807, -0.15507586001878249]","[0.016788958924074882, 0.09310472641339841, -0.10365431792145911, -0.9900807615142669]","[[0.9611290757581483, -0.20212602918905678, -0.18784289302768273], [0.20837855489862386, 0.9779023176356673, 0.013943436649869873], [0.1808819006841372, -0.05254626429644936, 0.9820537727221657]]","[-0.3807090494387335, -0.11372794156415257, -0.41942756597654984]","[1613.2467942542933, 1690.7532057457067, 1550.0256459656537, 1611.727559780053]"
8926,110.26648267848064,"[0.8872515157045622, -1.4865459246663493, 2.06360357632704]","[0.44981015710407724, 0.2690707733797256, -0.1739787760627772]","[0.016532290425703863, 0.10070133674181614, -0.1025882470517798, -0.9894514467616287]","[[0.9586223744706542, -0.1996825314417012, -0.20267020404908762], [0.20634182642279045, 0.9783572596603919, 0.012054250135764406], [0.1958861292709921, -0.05337734458422003, 0.9791244380835286]]","[-0.36211500397736973, -0.1839648007013182, -0.5540021572620688]","[1613.7380582628557, 1690.2619417371443, 1546.0955338971544, 1615.16640783999]"
8927,110.2764834047498,"[0.8916789640679992, -1.4838669349872131, 2.061676015413937]","[0.42976552749690144, 0.2685889175960403, -0.19503490920577154]","[0.01628944157853145, 0.10840539366832323, -0.10145174260924704, -0.9887603039600912]","[[0.9558680991393553, -0.19709118506528436, -0.21767908445735631], [0.2041546383731158, 0.9788408660782428, 0.010216874221272158], [0.21106871552026216, -0.05420853860484347, 0.9759223194823803]]","[-0.3812447930804974, -0.2519978663442691, -0.8220664156637945]","[1609.4290624482762, 1690.4811513212342, 1540.8725164119785, 1619.4057566061704]"
8928,110.28648413101895,"[0.8960089259279392, -1.4811221724222308, 2.0595155193882446]","[0.4084037812621739, 0.267520910920566, -0.21855053929981583]","[0.016062378129869638, 0.11623218070900426, -0.10023478591795354, -0.9879985385084606]","[[0.9528421799456526, -0.1943297135144783, -0.2328944674026564], [0.2017975744641078, 0.9793460196280199, 0.008438196734275063], [0.2264544312699336, -0.05504022773485079, 0.9724202045793147]]","[-0.41388453751869925, -0.2310503708317912, -0.7860859155899327]","[1599.637003915706, 1691.5118943246625, 1534.1726868896935, 1624.5594716233127]"
8929,110.2964848572881,"[0.9000927889467595, -1.4783862379117327, 2.057119852984205]","[0.38563663163594025, 0.2670238246644857, -0.24050687162970463]","[0.01590622608919227, 0.12383541088411285, -0.09905107223211046, -0.9871971419862451]","[[0.9496648812750432, -0.1916263627496837, -0.24765098490157883], [0.19950537892316655, 0.9798292831959163, 0.006873101413324641], [0.24134886990437537, -0.05593722232682599, 0.9687810950389038]]","[-0.49882171411587484, -0.09738024329089016, -0.34756725656123777]","[1592.5679332902027, 1690.9190814623123, 1529.3786221934683, 1624.0274740213588]"
8930,110.30648558355726,"[0.9039552845165928, -1.4756582442915367, 2.0545126493518926]","[0.36160531285653397, 0.2670402849015164, -0.26106060585433066]","[0.015813859304138846, 0.13123755025842737, -0.09789726083788212, -0.9863600970678157]","[[0.9463491509563283, -0.18897315909504014, -0.2619912326419912], [0.1972746477158666, 0.9802955838598126, 0.005500726217746485], [0.25579869860538784, -0.0568919129752422, 0.9650167420232668]]","[-0.26859710322611674, -0.12993850798568185, -0.21688842365486138]","[1587.9482073420932, 1688.8658699298192, 1526.2988048947286, 1618.3811423070026]"
8931,110.31648630982642,"[0.9073557462664437, -1.473092086282743, 2.0518108968165194]","[0.33991140342815124, 0.26592671850534133, -0.28331185096127165]","[0.01574967701152086, 0.1378180714232941, -0.09676472302563986, -0.9855761595182486]","[[0.9432511861036426, -0.18639682797037918, -0.27470843735869], [0.19507918841544955, 0.9807427230733805, 0.004373157346929342], [0.2686123848236376, -0.05771686738374097, 0.9614819046961657]]","[0.24335187520767354, -0.3010193668774957, -0.30316632858626846]","[1584.1279622122863, 1685.325660303266, 1522.0582263335928, 1619.2092076360807]"
8932,110.32648703609557,"[0.9104192694382298, -1.4706439470388706, 2.0490401944086982]","[0.3199220518676739, 0.2639890791722928, -0.30680100740327165]","[0.015706048285317208, 0.14379942677122112, -0.09564769899216169, -0.9848309505651074]","[[0.9403119236814867, -0.18387658715509225, -0.28624074707313923], [0.1929106701161712, 0.9811751140554689, 0.0034274363507825305], [0.28023175755813773, -0.05844377349901915, 0.9581155284209957]]","[0.26903935584612126, -0.283194380989744, -0.3031231747613532]","[1580.8907391870503, 1680.7010559815003, 1516.9711615796505, 1624.7587328221996]"
8933,110.33648776236473,"[0.9134553530963628, -1.4680675165739003, 2.04588329086541]","[0.29718248317380896, 0.2629705339686834, -0.33155499655683746]","[0.01573205781832639, 0.14972062806161548, -0.09441224337064764, -0.9840731360408005]","[[0.937317496554932, -0.18110627767427806, -0.2976426937161143], [0.19052793198332396, 0.9816550342028629, 0.0026920701989923725], [0.2917014982302546, -0.059233911695630206, 0.9546498446650905]]","[-0.23955303505905112, -0.07579814375717717, -0.33848199318722116]","[1576.5989709305786, 1677.3451738901579, 1512.0355216704736, 1626.253797040421]"
