,t,p,v,q,R,fa,pwm
37,19.07,"[0.4037244611050532, -1.5367319729225986, 2.362468134397479]","[-0.21137966896805055, -0.08133468285430517, 0.06996716730146442]","[0.0060601261087051324, -0.09259964666069974, 0.049614807918903055, -0.9944477948192398]","[[0.9779268180227862, 0.09755634157789585, 0.18477237283124276], [-0.09980100372343735, 0.9950027568892523, 0.002864330725398819], [-0.1835696848598518, -0.02124158545511446, 0.9827766260955387]]","[-2.970997174904321, -0.21738208550815735, 0.08854136888781916]","[1574.8425936605547, 1735.9898978248493, 1599.3198637664657, 1717.8375425729794]"
38,19.08,"[0.4016973906882057, -1.5376284506295288, 2.363081498938809]","[-0.21471025971752283, -0.08226653551183706, 0.06361227229632146]","[0.006454798524196695, -0.09341703483103665, 0.049154508617655225, -0.9943915324458665]","[[0.9777132761099606, 0.09655167802474304, 0.18642078174373256], [-0.09896363057899188, 0.9950834320552309, 0.003653457104934558], [-0.18515165194500116, -0.02202093087948652, 0.982462278696871]]","[-3.0079830540618, -0.18220326450795377, -0.12222750806857263]","[1580.0831512120476, 1730.2729259504936, 1591.697234600658, 1720.2196141872944]"
39,19.09,"[0.39964021405188505, -1.5385269217707003, 2.363700170968478]","[-0.2156313056111078, -0.08325412699113247, 0.059316165633343215]","[0.0068830448045148285, -0.09424021123587634, 0.048653743842176585, -0.9943358552933447]","[[0.9775027652240854, 0.09545900480042095, 0.1880826138820473], [-0.09805364318571487, 0.9951704474400888, 0.004517838291233452], [-0.18674307028695494, -0.022858394679645205, 0.9821423861922438]]","[-2.187611964223071, -0.23324111353645233, 0.5772667040528887]","[1586.0592321310899, 1724.5842779098757, 1584.9703839344552, 1722.7722120491587]"
40,19.099999999999998,"[0.3974939532359496, -1.539431291475593, 2.3643345478343156]","[-0.2094225181846768, -0.08440664941481489, 0.06111200520866518]","[0.007410636012791382, -0.09508051500280616, 0.048033241894852245, -0.9942819098069157]","[[0.9773039370352734, 0.0941079527936734, 0.18978558582922464], [-0.09692638114805158, 0.995274710649443, 0.0056024719021304115], [-0.1883617583404362, -0.023870573408598078, 0.981808486636904]]","[-1.6866025960980573, -0.2054901465562844, 1.1348403161781349]","[1594.2117236700751, 1718.9794399768232, 1580.8941381649624, 1725.8293963762783]"
41,19.11,"[0.395503272828042, -1.5402791415581962, 2.364931259605144]","[-0.2043335367120925, -0.08455195951302635, 0.06341615155482502]","[0.007921268599049461, -0.09581584510415715, 0.04747579048256289, -0.9942345938749242]","[[0.9771305472988856, 0.09288618044841392, 0.1912789926645578], [-0.09592211262887369, 0.9953664066524968, 0.006653332562950932], [-0.1897747187110995, -0.02484906451124959, 0.9815129556703375]]","[-2.12569337706264, 0.08480242318497945, 1.2415259075820302]","[1596.9184840382054, 1718.0815159617946, 1580.381171425023, 1728.0]"
42,19.12,"[0.39389349784267785, -1.540988615408965, 2.365435756429941]","[-0.20198616111021067, -0.08223132520804463, 0.06696477853823747]","[0.008390381618881252, -0.09629416959053379, 0.0470727048480311, -0.9942035089919852]","[[0.9770226091568465, 0.09198380701423739, 0.1922619185197719], [-0.0952155863363888, 0.9954269463436864, 0.0076178396471042915], [-0.1906820866897401, -0.025749147741990084, 0.9813134912328452]]","[-2.366065308366215, 0.252882389795565, 1.2270930306781036]","[1586.2925339514798, 1728.7074660485202, 1588.5921328556747, 1728.0]"
43,19.13,"[0.3920738649914188, -1.5417967009630034, 2.3660057760858035]","[-0.1995516707806065, -0.08031999263322821, 0.06881591288015505]","[0.008876678755988602, -0.09688963984832008, 0.04661716804597816, -0.994162854623984]","[[0.9768778142732816, 0.09096999730271729, 0.19347577312070738], [-0.09441023013358518, 0.9954954280416819, 0.008616287337820529], [-0.19182055061967504, -0.026683169828714284, 0.9810665441350616]]","[-2.3200649901246453, 0.04404194698907529, 0.47640116274345345]","[1577.423174204091, 1737.1153651591817, 1595.461460636727, 1727.1924438857275]"
44,19.14,"[0.3895084356867785, -1.5429552344654511, 2.3668086518932103]","[-0.19680759064984785, -0.07986324350905526, 0.06463446899936534]","[0.00942404510136249, -0.09790142474112468, 0.045975229392623884, -0.994088192057198]","[[0.9766017355295745, 0.08956161044816084, 0.19551184591214008], [-0.09325212021715286, 0.9955934882101137, 0.009734582992682041], [-0.1937787553707738, -0.027738744834033685, 0.9806515537128383]]","[-2.383275318753282, -0.07151582746531793, -0.06517485492236474]","[1574.7964150832079, 1737.6407169833585, 1597.5628679334336, 1723.514981116491]"
45,19.15,"[0.38712296501161847, -1.5440460285154187, 2.367557501658694]","[-0.194679603929861, -0.07905209145531253, 0.06159855089833806]","[0.00989101031900968, -0.09883868745947955, 0.04536402091328456, -0.9940194702457515]","[[0.9763455587806418, 0.08823021111772246, 0.19739255149444465], [-0.09214066902803879, 0.9956880668878055, 0.010696273105087676], [-0.1955977674985844, -0.028631154244901383, 0.9802656833972221]]","[-2.6014867083494604, 0.037471070024465813, 0.21329155065964933]","[1574.611654972032, 1738.1611654972032, 1598.194172513984, 1722.1281584804224]"
46,19.16,"[0.38512682741007803, -1.544990271053433, 2.3681894683104407]","[-0.19388450989719114, -0.07747420327855735, 0.06104093058184034]","[0.010184031012457894, -0.0996147245266104, 0.044819295898153755, -0.9939636010134932]","[[0.9761354920000547, 0.08706853860388349, 0.19893970280764028], [-0.09112645637938928, 0.9957742497097543, 0.011315788647209028], [-0.197113938410107, -0.02917443590469393, 0.9799456015943419]]","[-2.754691821696253, 0.038239243315698446, 0.34069993427291756]","[1579.7100590135167, 1738.6710059013517, 1595.6449704932418, 1725.6970413094616]"
