t,pos,pos_d,vel,"cmd(thr,r,p,y)",fhat,fa_obs,dhat_xyz
47.890000,"[-8.455391883850098, -4.227460861206055, -9.931310653686523]","[-9.275271050268259, -3.4666872376408016, -10.0]","[1.6059573888778687, -1.7358973026275635, -0.06796491146087646]","[0.5876338339971334, 0.12667248535276537, 0.10178474354175686, 0.0]","[0.6525631546974182, 1.1239013671875, 0.205643430352211]","[0.47259199619293213, 1.9313645362854004, 0.06469440460205078]","[-1.4262844553242668, -1.5343696654402947, -17.576595751958855]"
47.900000,"[-8.431192398071289, -4.253270149230957, -9.932310104370117]","[-9.256467392711084, -3.502543957271423, -10.0]","[1.6205122470855713, -1.7052980661392212, -0.06537140160799026]","[0.587703596765501, 0.1278492101240791, 0.10167183519961656, 0.0]","[0.6534221768379211, 1.121074914932251, 0.20878508687019348]","[0.47275209426879883, 1.9333264827728271, 0.059462547302246094]","[-1.421398483652821, -1.5396720205420296, -17.57888047210402]"
47.910000,"[-8.406774520874023, -4.278619766235352, -9.933271408081055]","[-9.237432323951198, -3.538050425425095, -10.0]","[1.6350637674331665, -1.6745519638061523, -0.06282182782888412]","[0.5877726001656167, 0.12900385693423758, 0.1015427169908824, 0.0]","[0.6540589332580566, 1.1179717779159546, 0.2118837833404541]","[0.472919225692749, 1.935070276260376, 0.05433177947998047]","[-1.4165198783355006, -1.5447934750018457, -17.58119938428975]"
47.920000,"[-8.382139205932617, -4.303507328033447, -9.934195518493652]","[-9.21816631986433, -3.5732030914845896, -10.0]","[1.6496107578277588, -1.643664002418518, -0.06031414866447449]","[0.5878389038178148, 0.13013667486638464, 0.10139752961601518, 0.0]","[0.6544392108917236, 1.1144250631332397, 0.2150835543870926]","[0.4730682373046875, 1.936813473701477, 0.04932403564453125]","[-1.4116453040890207, -1.5497291858588111, -17.583553628834853]"
47.930000,"[-8.357285499572754, -4.327930927276611, -9.935081481933594]","[-9.198669862099578, -3.6079984402125955, -10.0]","[1.6641523838043213, -1.6126409769058228, -0.05785064399242401]","[0.5879018478567747, 0.1312488619889095, 0.10123536877011916, 0.0]","[0.654575765132904, 1.1104557514190674, 0.21840347349643707]","[0.47321486473083496, 1.9383946657180786, 0.0443267822265625]","[-1.4067715542221517, -1.5544746318767317, -17.585944640609394]"
47.940000,"[-8.332213401794434, -4.3518877029418945, -9.935931205749512]","[-9.178943438067371, -3.6424329921032355, -10.0]","[1.6786872148513794, -1.5814858675003052, -0.05543229728937149]","[0.5879637814057299, 0.1323402072162256, 0.10105603974291444, 0.0]","[0.6545482873916626, 1.1064658164978027, 0.22164294123649597]","[0.4733934998512268, 1.9393930435180664, 0.039298057556152344]","[-1.4018963792348431, -1.5590301202640433, -17.58837091174252]"
47.950000,"[-8.306922912597656, -4.375375747680664, -9.936745643615723]","[-9.158987540927283, -3.6765033037300165, -10.0]","[1.6932131052017212, -1.5501976013183594, -0.05305652692914009]","[0.5880235775238085, 0.13340911740160807, 0.10085967720275789, 0.0]","[0.6543347239494324, 1.102325201034546, 0.22490668296813965]","[0.473571240901947, 1.9401683807373047, 0.03430652618408203]","[-1.3970172743639924, -1.5633943708639932, -17.590832492268603]"
47.960000,"[-8.281415939331055, -4.398393154144287, -9.93752384185791]","[-9.1388026695757, -3.7102059680901665, -10.0]","[1.7077280282974243, -1.5187797546386719, -0.05072261020541191]","[0.5880777818172395, 0.1344552856360013, 0.10064721435135508, 0.0]","[0.6538737416267395, 1.0976558923721313, 0.22844107449054718]","[0.47370481491088867, 1.9410940408706665, 0.029338836669921875]","[-1.392131043325147, -1.567561595368182, -17.593333091269205]"
47.970000,"[-8.255690574645996, -4.420938968658447, -9.938267707824707]","[-9.118389328633357, -3.7435376149453363, -10.0]","[1.7222306728363037, -1.4872394800186157, -0.0484292097389698]","[0.5881257383879228, 0.13548027555407813, 0.10041751809154645, 0.0]","[0.6531822681427002, 1.0924805402755737, 0.23225067555904388]","[0.4738052487373352, 1.941940426826477, 0.02438831329345703]","[-1.3872346555230772, -1.5715263653768001, -17.595876517659942]"
47.980000,"[-8.229747772216797, -4.4430108070373535, -9.938977241516113]","[-9.097748028432715, -3.7764949111586157, -10.0]","[1.7367191314697266, -1.4555809497833252, -0.04617470130324364]","[0.5881689805031702, 0.13648405869530028, 0.1001710335897206, 0.0]","[0.6523022651672363, 1.0869863033294678, 0.2362438291311264]","[0.47387903928756714, 1.9424903392791748, 0.019476890563964844]","[-1.3823256084488726, -1.5752855221590902, -17.598465181137392]"
47.990000,"[-8.203588485717773, -4.464606761932373, -9.939653396606445]","[-9.076879285005202, -3.8090745610278476, -10.0]","[1.7511911392211914, -1.423806071281433, -0.04395751655101776]","[0.5882071654679207, 0.13746587511478, 0.09990836509887385, 0.0]","[0.6512337327003479, 1.0811463594436646, 0.24045005440711975]","[0.47391456365585327, 1.9428808689117432, 0.014619827270507812]","[-1.37740142833732, -1.57883558974208, -17.60110193641014]"
48.000000,"[-8.177210807800293, -4.485725402832031, -9.940296173095703]","[-9.055783620068318, -3.8412733066151956, -10.0]","[1.7656446695327759, -1.3919188976287842, -0.04177599027752876]","[0.5882400937524171, 0.1384259597779746, 0.09962870531631862, 0.0]","[0.6499668955802917, 1.074942946434021, 0.24491095542907715]","[0.47390127182006836, 1.9432185888290405, 0.009842872619628906]","[-1.372459494978604, -1.5821729174133794, -17.603790237269322]"
48.010000,"[-8.150617599487305, -4.506364822387695, -9.940906524658203]","[-9.034461561012588, -3.8730879280729322, -10.0]","[1.780077576637268, -1.3599238395690918, -0.03962808847427368]","[0.5882671781996653, 0.13936431345551997, 0.09933350750624209, 0.0]","[0.6485151648521423, 1.0682674646377563, 0.24964536726474762]","[0.4738333225250244, 1.9434375762939453, 0.005150794982910156]","[-1.3674974128427737, -1.585292583685421, -17.60653381527118]"
48.020000,"[-8.123808860778809, -4.526523590087891, -9.941485404968262]","[-9.012913640888376, -3.9045152439654247, -10.0]","[1.794487714767456, -1.3278264999389648, -0.037509672343730927]","[0.5882881038629746, 0.14028136999346083, 0.09902306082756841, 0.0]","[0.6468856334686279, 1.0610183477401733, 0.25472161173820496]","[0.4736238121986389, 1.9437636137008667, 0.0006303787231445312]","[-1.3625128802381379, -1.588188503032131, -17.609337390466553]"
48.030000,"[-8.096781730651855, -4.546199798583984, -9.942031860351562]","[-8.991140398392565, -3.9355521115872723, -10.0]","[1.8088743686676025, -1.2956342697143555, -0.03542254865169525]","[0.5883042764565604, 0.14117842675933573, 0.09869555854243174, 0.0]","[0.6451086401939392, 1.0533835887908936, 0.2600211799144745]","[0.47336679697036743, 1.943842887878418, -0.0038213729858398438]","[-1.3575038960708061, -1.5908569117783138, -17.612203906624536]"
48.040000,"[-8.069540023803711, -4.56539249420166, -9.942547798156738]","[-8.969142377855082, -3.9661954272775772, -10.0]","[1.8232347965240479, -1.263347864151001, -0.033364616334438324]","[0.5883191600176464, 0.14205526911996263, 0.0983529327451994, 0.0]","[0.6432164907455444, 1.0458096265792847, 0.26529645919799805]","[0.4731837511062622, 1.9432233572006226, -0.008179664611816406]","[-1.352468935848657, -1.5932994065236536, -17.615132613307754]"
48.050000,"[-8.042083740234375, -4.584100246429443, -9.943032264709473]","[-8.946920129225296, -3.996442126730307, -10.0]","[1.8375650644302368, -1.2309643030166626, -0.03133455291390419]","[0.5883324784168491, 0.14290948894816305, 0.0979962006153993, 0.0]","[0.6411892771720886, 1.0381112098693848, 0.27063894271850586]","[0.4729501008987427, 1.942521333694458, -0.012401580810546875]","[-1.3474062660886772, -1.5955153092332337, -17.618124086889395]"
48.060000,"[-8.014412879943848, -4.602321624755859, -9.943487167358398]","[-8.924474208058262, -4.02628918530072, -10.0]","[1.8518626689910889, -1.1984883546829224, -0.029331326484680176]","[0.5883423614192815, 0.14374126894247827, 0.09762588863450554, 0.0]","[0.6390231251716614, 1.0300060510635376, 0.27616986632347107]","[0.47256261110305786, 1.9420723915100098, -0.016485214233398438]","[-1.3423141194634876, -1.5975005946552348, -17.621180758300195]"
48.070000,"[-7.986527442932129, -4.620055198669434, -9.943912506103516]","[-8.901805175500845, -4.055733618307833, -10.0]","[1.8661259412765503, -1.1659271717071533, -0.027353402227163315]","[0.5883503109724468, 0.14455202681824778, 0.09724202986156423, 0.0]","[0.6367562413215637, 1.0216419696807861, 0.2817854881286621]","[0.4720567464828491, 1.9415026903152466, -0.020430564880371094]","[-1.3371911896676085, -1.5992530790862964, -17.62430347932033]"
48.080000,"[-7.958427906036377, -4.63730001449585, -9.944308280944824]","[-8.878913598277675, -4.084772481332883, -10.0]","[1.8803528547286987, -1.1332836151123047, -0.02539961226284504]","[0.5885114140917783, 0.14534055607109075, 0.09684545095928555, 0.0]","[0.634799063205719, 1.0120360851287842, 0.27751797437667847]","[0.4712356925010681, 1.9402775764465332, -0.02173900604248047]","[-1.332041111546104, -1.600758808495859, -17.62734356670543]"
48.090000,"[-7.930115699768066, -4.654054164886475, -9.944674491882324]","[-8.855800048676992, -4.113402870513766, -10.0]","[1.8945412635803223, -1.1005594730377197, -0.023470772430300713]","[0.588564189362389, 0.14610702268443745, 0.09643692942261116, 0.0]","[0.6325312852859497, 1.0031530857086182, 0.2806333601474762]","[0.47046059370040894, 1.939328670501709, -0.024692535400390625]","[-1.3268601118283403, -1.6020273970357117, -17.63041133997492]"
48.100000,"[-7.901590824127197, -4.67031717300415, -9.945013046264648]","[-8.83246510453633, -4.141621922835421, -10.0]","[1.9086922407150269, -1.0677562952041626, -0.02159368060529232]","[0.5885844330589697, 0.1468516811383426, 0.09601526508987644, 0.0]","[0.6301220059394836, 0.9944730997085571, 0.28558892011642456]","[0.4697633385658264, 1.9383914470672607, -0.02875232696533203]","[-1.3216464157959715, -1.6030622357919175, -17.633534431234892]"
48.110000,"[-7.872853755950928, -4.686087608337402, -9.94532299041748]","[-8.808909349228081, -4.169426816416133, -10.0]","[1.9228017330169678, -1.0348790884017944, -0.019752195104956627]","[0.5885974460499315, 0.14757524250019372, 0.09558180380450902, 0.0]","[0.6276573538780212, 0.985777735710144, 0.29088589549064636]","[0.46899300813674927, 1.9373482465744019, -0.03295707702636719]","[-1.3163993222252826, -1.6038641325892944, -17.6367177233351]"
48.120000,"[-7.843905925750732, -4.701363563537598, -9.945605278015137]","[-8.785133371644896, -4.1968147707897145, -10.0]","[1.9368672370910645, -1.0019323825836182, -0.017937947064638138]","[0.5886108419105949, 0.14827799245515916, 0.09513774501248637, 0.0]","[0.6251664757728577, 0.9770548343658447, 0.29612499475479126]","[0.4680957794189453, 1.9362157583236694, -0.03694725036621094]","[-1.3111185192281178, -1.60443377076515, -17.6399600099688]"
48.130000,"[-7.814747333526611, -4.716145038604736, -9.945860862731934]","[-8.761137766184978, -4.223783047183551, -10.0]","[1.9508867263793945, -0.9689207077026367, -0.016146671026945114]","[0.5886277636694911, 0.14896125620443929, 0.0946832968171966, 0.0]","[0.6226539015769958, 0.9683720469474792, 0.3011495769023895]","[0.46711456775665283, 1.934887409210205, -0.04061603546142578]","[-1.30580375557535, -1.6047727023836338, -17.6432576969815]"
48.140000,"[-7.785378456115723, -4.730431079864502, -9.946089744567871]","[-8.736923132737216, -4.250328948792476, -10.0]","[1.9648574590682983, -0.9358460903167725, -0.014377949759364128]","[0.5886502634338693, 0.1496251197071699, 0.09421903836204024, 0.0]","[0.6201046109199524, 0.9598342180252075, 0.30583587288856506]","[0.4661250114440918, 1.9332307577133179, -0.0439910888671875]","[-1.300454623743752, -1.6048837450696105, -17.646605327424552]"
48.150000,"[-7.755800724029541, -4.74422025680542, -9.94629192352295]","[-8.712490076666183, -4.276449821048453, -10.0]","[1.978775978088379, -0.9027092456817627, -0.012632218189537525]","[0.588679218819939, 0.15026870175239293, 0.09374659679992425, 0.0]","[0.617529571056366, 0.9514316320419312, 0.31015869975090027]","[0.4650389552116394, 1.931447982788086, -0.0471038818359375]","[-1.2950708985739832, -1.604769581261657, -17.64999707312878]"
48.160000,"[-7.726014614105225, -4.75751256942749, -9.946468353271484]","[-8.687839208797008, -4.30214305188602, -10.0]","[1.9926403760910034, -0.8695132732391357, -0.01091026235371828]","[0.5887148196237876, 0.15089255266447338, 0.09326668436865923, 0.0]","[0.6149646043777466, 0.943097710609436, 0.3141143321990967]","[0.4637809991836548, 1.929694652557373, -0.049986839294433594]","[-1.289652798538352, -1.6044321307995553, -17.653427087585403]"
48.170000,"[-7.696020603179932, -4.77030611038208, -9.94662094116211]","[-8.662971145400105, -4.327406072003506, -10.0]","[2.0064492225646973, -0.8362628221511841, -0.009212754666805267]","[0.5887572936001315, 0.15149710881617984, 0.09277964357842867, 0.0]","[0.6124266386032104, 0.9348799586296082, 0.3176593482494354]","[0.4623821973800659, 1.9278382062911987, -0.05268383026123047]","[-1.2842007531964708, -1.60387390076481, -17.65688893454052]"
48.180000,"[-7.665820121765137, -4.7826008796691895, -9.946744918823242]","[-8.637886508175765, -4.3522363551199525, -10.0]","[2.0202012062072754, -0.8029605746269226, -0.007540804799646139]","[0.5888087063529805, 0.15208303520999128, 0.09228613740177301, 0.0]","[0.6099138259887695, 0.9268525242805481, 0.3207385241985321]","[0.4608989953994751, 1.9257925748825073, -0.05520915985107422]","[-1.2787151946839732, -1.6030983170833093, -17.660375237283723]"
48.190000,"[-7.635413646697998, -4.794395446777344, -9.946845054626465]","[-8.612585924238607, -4.3766314182277375, -10.0]","[2.0338945388793945, -0.7696086168289185, -0.0058951606042683125]","[0.5888687798503607, 0.15265004180713912, 0.09178666210799075, 0.0]","[0.6074292063713074, 0.919026255607605, 0.32331857085227966]","[0.4593338966369629, 1.9236319065093994, -0.057578086853027344]","[-1.2731966036896858, -1.6021089291713582, -17.663878259730485]"
48.200000,"[-7.604802131652832, -4.805689334869385, -9.946921348571777]","[-8.587070026101916, -4.400588821840881, -10.0]","[2.047527313232422, -0.7362104058265686, -0.00427654106169939]","[0.5889376454800483, 0.15319865302400704, 0.09128225384090971, 0.0]","[0.6050025820732117, 0.9114072322845459, 0.3254301846027374]","[0.4575786590576172, 1.9215060472488403, -0.059790611267089844]","[-1.2676458411063818, -1.600909386343067, -17.66739073702689]"
48.210000,"[-7.573986530303955, -4.8164825439453125, -9.94697380065918]","[-8.561339451661816, -4.424106170238986, -10.0]","[2.0610997676849365, -0.7027701735496521, -0.0026883678510785103]","[0.5890159661866036, 0.15373019180444283, 0.09077260707194212, 0.0]","[0.6026278734207153, 0.9039943814277649, 0.3269783556461334]","[0.45580416917800903, 1.9191609621047974, -0.06193351745605469]","[-1.2620636916132604, -1.5995033693002314, -17.670904030497145]"
48.220000,"[-7.542968273162842, -4.826772689819336, -9.947002410888672]","[-8.535394844181328, -4.44718111170681, -10.0]","[2.0746095180511475, -0.6692895889282227, -0.0011290526017546654]","[0.5891047596433976, 0.1542437186375224, 0.0902590087447234, 0.0]","[0.6003087162971497, 0.896841824054718, 0.32795143127441406]","[0.45394325256347656, 1.916663408279419, -0.0639200210571289]","[-1.2564510208052433, -1.5978951747943984, -17.67440930284928]"
48.230000,"[-7.511747360229492, -4.8365607261657715, -9.947007179260254]","[-8.509236852274286, -4.469811338769436, -10.0]","[2.0880558490753174, -0.6357711553573608, 0.00039689228287898004]","[0.5892036518928163, 0.15474010611469063, 0.0897414835647379, 0.0]","[0.5980642437934875, 0.8899367451667786, 0.328361839056015]","[0.4519695043563843, 1.91413414478302, -0.06585216522216797]","[-1.250808913583051, -1.5960889853635465, -17.677897970890903]"
48.240000,"[-7.480325698852539, -4.845845699310303, -9.946989059448242]","[-8.482866129889125, -4.4919945884230135, -10.0]","[2.10143780708313, -0.6022175550460815, 0.0018852881621569395]","[0.5893127534276961, 0.1552197267206763, 0.08922056460572698, 0.0]","[0.5958558917045593, 0.8833534121513367, 0.3281461000442505]","[0.4500250816345215, 1.911395788192749, -0.06780624389648438]","[-1.2451380211847993, -1.594089878714658, -17.681360587674238]"
48.250000,"[-7.448703289031982, -4.85462760925293, -9.946950912475586]","[-8.456283336292534, -4.513728642361067, -10.0]","[2.1147525310516357, -0.5686297416687012, 0.0033364000264555216]","[0.5894321483191296, 0.15568253329006354, 0.08869698134552237, 0.0]","[0.5936775803565979, 0.8771222233772278, 0.32728585600852966]","[0.4480507969856262, 1.908498764038086, -0.06972503662109375]","[-1.239438937184965, -1.5919032977338687, -17.68478750415081]"
48.260000,"[-7.416881561279297, -4.862905025482178, -9.94688892364502]","[-8.429489136052966, -4.535011327196312, -10.0]","[2.1279985904693604, -0.535009503364563, 0.004748299717903137]","[0.5895625458328702, 0.1561279494630315, 0.08817183006396748, 0.0]","[0.5915678143501282, 0.8712043166160583, 0.32581856846809387]","[0.44594234228134155, 1.9056059122085571, -0.07159233093261719]","[-1.2337127427233612, -1.5895342007784312, -17.688169559120478]"
48.270000,"[-7.384861946105957, -4.870678424835205, -9.946807861328125]","[-8.402484199024032, -4.555840514678001, -10.0]","[2.1411750316619873, -0.5013604164123535, 0.0061194016598165035]","[0.589702587600689, 0.1565570800374214, 0.08764582397728679, 0.0]","[0.5895427465438843, 0.8656026124954224, 0.32376036047935486]","[0.44370269775390625, 1.9026753902435303, -0.07343196868896484]","[-1.227960732480638, -1.5869876200223152, -17.69149798575863]"
48.280000,"[-7.352644920349121, -4.877946376800537, -9.94670581817627]","[-8.375269200327754, -4.576214121904745, -10.0]","[2.1542820930480957, -0.46768519282341003, 0.00744783878326416]","[0.589852867720457, 0.15696991786333286, 0.08711862283439135, 0.0]","[0.5875897407531738, 0.860359787940979, 0.32109540700912476]","[0.44141554832458496, 1.8996096849441528, -0.07525062561035156]","[-1.2221840365130434, -1.5842690904133945, -17.694763756372776]"
48.290000,"[-7.320231914520264, -4.884708881378174, -9.946584701538086]","[-8.347844820337677, -4.596130111532796, -10.0]","[2.167318344116211, -0.4339856207370758, 0.008731742389500141]","[0.5900130315797825, 0.15736671669285196, 0.08659103793899119, 0.0]","[0.585700273513794, 0.8554969429969788, 0.3178240954875946]","[0.43907809257507324, 1.8964340686798096, -0.077056884765625]","[-1.216383707862212, -1.5813844060055735, -17.697957928610776]"
48.300000,"[-7.287624359130859, -4.890965938568115, -9.946444511413574]","[-8.320211744661876, -4.61558649197979, -10.0]","[2.1802830696105957, -0.4002636969089508, 0.009969281032681465]","[0.5903418380754477, 0.1577489935075247, 0.08606605310836846, 0.0]","[0.5858167409896851, 0.8520318865776062, 0.30417004227638245]","[0.43643999099731445, 1.8928102254867554, -0.07626819610595703]","[-1.2105841249275273, -1.5783515818455154, -17.7009249418376]"
48.310000,"[-7.254822731018066, -4.896717071533203, -9.94628620147705]","[-8.292370664125801, -4.634581317623895, -10.0]","[2.1931748390197754, -0.3665224313735962, 0.011160657741129398]","[0.5905745813761641, 0.15811644737247124, 0.08554249495361513, 0.0]","[0.584693193435669, 0.8483472466468811, 0.2968800365924835]","[0.433874249458313, 1.8893691301345825, -0.07713985443115234]","[-1.2047707215081387, -1.5751692336838936, -17.70376045996025]"
48.320000,"[-7.221827983856201, -4.901961803436279, -9.946110725402832]","[-8.264322274755019, -4.653112688998377, -10.0]","[2.2059967517852783, -0.33276069164276123, 0.012280040420591831]","[0.5907804952880247, 0.15846755607243512, 0.08501900682560767, 0.0]","[0.583289384841919, 0.8448594212532043, 0.2910953760147095]","[0.43129462003707886, 1.8860747814178467, -0.07916450500488281]","[-1.1989404099645005, -1.5718409323864748, -17.70648767958004]"
48.330000,"[-7.188642501831055, -4.9066996574401855, -9.945918083190918]","[-8.2360672777578, -4.67117875298154, -10.0]","[2.2187490463256836, -0.29898035526275635, 0.013320636935532093]","[0.5909808671012704, 0.15880244817540953, 0.0844957360278903, 0.0]","[0.5818313360214233, 0.8417456150054932, 0.28534772992134094]","[0.42880839109420776, 1.8827416896820068, -0.08198738098144531]","[-1.1930928381397192, -1.5683723686155042, -17.709107874220983]"
48.340000,"[-7.155266284942627, -4.91093111038208, -9.945711135864258]","[-8.207606379507599, -4.6887777029820406, -10.0]","[2.2314281463623047, -0.265185683965683, 0.01430231612175703]","[0.5911859967096528, 0.1591225569723684, 0.08397349219749321, 0.0]","[0.580369770526886, 0.8390744924545288, 0.27919238805770874]","[0.42634880542755127, 1.8792616128921509, -0.08475780487060547]","[-1.1872282857142873, -1.5647700961540263, -17.711615425968358]"
48.350000,"[-7.121699333190918, -4.914655685424805, -9.945489883422852]","[-8.17894029152539, -4.705907779119546, -10.0]","[2.244032382965088, -0.23137898743152618, 0.015228413045406342]","[0.5913982129733353, 0.15942789290205736, 0.08345275684776876, 0.0]","[0.5789602398872375, 0.8368287086486816, 0.27255386114120483]","[0.42379194498062134, 1.8757356405258179, -0.08733463287353516]","[-1.1813476991759826, -1.5610404569430436, -17.71400353454221]"
48.360000,"[-7.087944030761719, -4.917872428894043, -9.945255279541016]","[-8.150069730461878, -4.722567268400716, -10.0]","[2.256561756134033, -0.1975633203983307, 0.016099203377962112]","[0.5916175386894804, 0.15971858268132796, 0.08293435313038094, 0.0]","[0.5776324272155762, 0.835000216960907, 0.2654362618923187]","[0.42112618684768677, 1.87214994430542, -0.08972549438476562]","[-1.175452407070932, -1.5571896913354224, -17.716265482967533]"
48.370000,"[-7.054001331329346, -4.920582294464111, -9.945008277893066]","[-8.120995418079588, -4.738754504890505, -10.0]","[2.2690165042877197, -0.16374121606349945, 0.01691395975649357]","[0.59184378885861, 0.15999553513089362, 0.08241815106819096, 0.0]","[0.5763741731643677, 0.8336142301559448, 0.25783804059028625]","[0.4184125065803528, 1.8684386014938354, -0.09196949005126953]","[-1.1695435874905955, -1.5532243664621221, -17.718394567683152]"
48.380000,"[-7.019872188568115, -4.922784805297852, -9.94474983215332]","[-8.091718081234813, -4.754467869878754, -10.0]","[2.2813963890075684, -0.12991435825824738, 0.017671635374426842]","[0.5920769114002897, 0.16025864202335555, 0.08190422477390037, 0.0]","[0.5751741528511047, 0.8326826095581055, 0.24975614249706268]","[0.4156773090362549, 1.8646172285079956, -0.09409809112548828]","[-1.163622283731247, -1.549151177250066, -17.72038408075813]"
48.390000,"[-6.98555850982666, -4.924479961395264, -9.944478988647461]","[-8.062238451859452, -4.76970579204206, -10.0]","[2.2937004566192627, -0.09608501940965652, 0.018373804166913033]","[0.5923175629081151, 0.1605081644024546, 0.08139345992216535, 0.0]","[0.57403564453125, 0.8321977257728577, 0.24120810627937317]","[0.4128902554512024, 1.860718846321106, -0.09605121612548828]","[-1.1576896063495945, -1.5449767276478708, -17.7222275279833]"
48.400000,"[-6.9510602951049805, -4.925667762756348, -9.944198608398438]","[-8.0325572669427, -4.7844667476009, -10.0]","[2.305928945541382, -0.06225620210170746, 0.01902284100651741]","[0.5925643779480531, 0.16074451605838289, 0.08088564984692834, 0.0]","[0.5729859471321106, 0.8321623206138611, 0.2322855442762375]","[0.4099709987640381, 1.8567777872085571, -0.09780120849609375]","[-1.1517469704095016, -1.5407076627408332, -17.723919830959105]"
48.410000,"[-6.916378974914551, -4.926347732543945, -9.943909645080566]","[-8.00267526851264, -4.798749260472027, -10.0]","[2.3180835247039795, -0.028428778052330017, 0.01960689015686512]","[0.592815957294623, 0.1609673068592702, 0.08038005913551893, 0.0]","[0.5719963908195496, 0.8325477838516235, 0.2229144275188446]","[0.4071037769317627, 1.8527295589447021, -0.09969234466552734]","[-1.1457954340818772, -1.5363502567021095, -17.72545500443671]"
48.420000,"[-6.8745222091674805, -4.926494121551514, -9.943550109863281]","[-7.97259320361767, -4.812551902416049, -10.0]","[2.3325695991516113, 0.012157661840319633, 0.020238714292645454]","[0.5931309903982939, 0.15853245421112214, 0.0757089074676655, 0.0]","[0.5709394812583923, 0.8335392475128174, 0.21169447898864746]","[0.46559369564056396, 2.0176820755004883, -0.09790992736816406]","[-1.1396713874476785, -1.5318313560047545, -17.72680269387346]"
48.430000,"[-6.839443683624268, -4.926058292388916, -9.943243026733398]","[-7.94231182430785, -4.825873293180276, -10.0]","[2.34455943107605, 0.045973341912031174, 0.020697202533483505]","[0.5934005076060384, 0.158674914921613, 0.07518238479828011, 0.0]","[0.5700454115867615, 0.8348634243011475, 0.20110821723937988]","[0.4470539689064026, 1.970746636390686, -0.10037803649902344]","[-1.1335398060844668, -1.5272359200611567, -17.72797642081585]"
48.440000,"[-6.804184436798096, -4.925114631652832, -9.942930221557617]","[-7.911831887616083, -4.838712100636733, -10.0]","[2.356470823287964, 0.07977847009897232, 0.021082932129502296]","[0.5936992166872838, 0.1588074897088157, 0.07465435048247478, 0.0]","[0.5688776969909668, 0.8366793990135193, 0.18903779983520508]","[0.43420183658599854, 1.935787320137024, -0.10210609436035156]","[-1.1273977815433174, -1.5225710908558923, -17.72895485981349]"
48.450000,"[-6.7687482833862305, -4.923664569854736, -9.942611694335938]","[-7.8811541555392015, -4.851067040915375, -10.0]","[2.36826229095459, 0.11353981494903564, 0.02139953337609768]","[0.5940570577453603, 0.15894475064730076, 0.07413855925762655, 0.0]","[0.5670897960662842, 0.8392967581748962, 0.1739911437034607]","[0.4261082410812378, 1.9098846912384033, -0.10228919982910156]","[-1.1212387973515787, -1.517848118395868, -17.72969424971547]"
48.460000,"[-6.73313570022583, -4.921708583831787, -9.942288398742676]","[-7.850279395018908, -4.862936878532466, -10.0]","[2.379903793334961, 0.14723820984363556, 0.021640516817569733]","[0.5944219515091895, 0.15908971002209613, 0.0736554287290561, 0.0]","[0.5651558041572571, 0.8426601886749268, 0.15813159942626953]","[0.4181175231933594, 1.8879460096359253, -0.1027069091796875]","[-1.1150623751657716, -1.5130777937430813, -17.730183402720655]"
48.470000,"[-6.697349548339844, -4.919247150421143, -9.941963195800781]","[-7.819208377922607, -4.8743204265141395, -10.0]","[2.391413927078247, 0.18089419603347778, 0.021794384345412254]","[0.5947593333822025, 0.1592321451870735, 0.07320253539991925, 0.0]","[0.5634976625442505, 0.846367597579956, 0.14318639039993286]","[0.4092337489128113, 1.868862509727478, -0.10436153411865234]","[-1.108872910978936, -1.508265810082645, -17.730437289098095]"
48.480000,"[-6.6613922119140625, -4.916281223297119, -9.941634178161621]","[-7.787941881024106, -4.885216546515079, -10.0]","[2.402815818786621, 0.21452058851718903, 0.021860303357243538]","[0.595086225945761, 0.15936805204734658, 0.07276831235238418, 0.0]","[0.5620826482772827, 0.8502275943756104, 0.1286303997039795]","[0.4011646509170532, 1.8536012172698975, -0.10649871826171875]","[-1.1026741555641117, -1.5034153919460336, -17.73046296335366]"
48.490000,"[-6.6252641677856445, -4.912811279296875, -9.941305160522461]","[-7.756480685984204, -4.89562414893237, -10.0]","[2.4141104221343994, 0.24810689687728882, 0.02184511348605156]","[0.5954173502488809, 0.1595016765695206, 0.0723499763663357, 0.0]","[0.5606781244277954, 0.8543341755867004, 0.11369527876377106]","[0.3944545388221741, 1.841274619102478, -0.10851192474365234]","[-1.0964670448901022, -1.4985309892927958, -17.730255955166932]"
48.500000,"[-6.588967323303223, -4.908837795257568, -9.940977096557617]","[-7.724825579331133, -4.90554219301444, -10.0]","[2.425293207168579, 0.2816469669342041, 0.021752290427684784]","[0.5957446721545891, 0.1596340583241221, 0.07195086029052156, 0.0]","[0.5591734051704407, 0.8587468862533569, 0.09862609207630157]","[0.38827812671661377, 1.8302055597305298, -0.11061859130859375]","[-1.0902512567340739, -1.4936178109892104, -17.729815443798717]"
48.510000,"[-6.55250358581543, -4.904361724853516, -9.940652847290039]","[-7.692977352440916, -4.914969686965148, -10.0]","[2.436368227005005, 0.3151474893093109, 0.02158181555569172]","[0.5960588637955619, 0.15976120018895001, 0.07157099086496894, 0.0]","[0.5576386451721191, 0.8632287383079529, 0.08386033773422241]","[0.3821316361427307, 1.8200786113739014, -0.11303234100341797]","[-1.0840272777011302, -1.4886781203638006, -17.729147248508227]"
