t,pos,pos_d,vel,"cmd(thr,r,p,y)",fhat,fa_obs,dhat_xyz
0.420000,"[0.3303438127040863, 0.5483052730560303, -10.776456832885742]","[2.0845989984609967, 2.038802265297852, -10.0]","[1.4789009094238281, 1.1723366975784302, -2.516981601715088]","[0.6295641230795007, 0.23252860502529682, 0.23552072586210795, 0.0]","[1.3613948822021484, 1.306742548942566, 2.9421823024749756]","[1.706697702407837, 2.088921070098877, -1.5856828689575195]","[0.0, 0.0, 0.0]"
0.430000,"[0.3528267443180084, 0.5662226676940918, -10.814217567443848]","[2.133474283007824, 2.0843540121460546, -10.0]","[1.518503189086914, 1.2164440155029297, -2.5170178413391113]","[0.6172443373184444, 0.22831312100846587, 0.232205328701465, 0.0]","[1.3192161321640015, 1.341252088546753, 3.1215829849243164]","[1.6875100135803223, 2.1282663345336914, -1.3802299499511719]","[0.0, 0.0, 0.0]"
0.440000,"[0.38057565689086914, 0.5885882377624512, -10.859495162963867]","[2.1822962308086944, 2.129697325329999, -10.0]","[1.5644251108169556, 1.268466830253601, -2.513338088989258]","[0.6037746362698511, 0.21890027336317494, 0.22397865434582673, 0.0]","[1.266505479812622, 1.3399367332458496, 3.2888033390045166]","[1.859665870666504, 2.3729088306427, -1.196324348449707]","[0.0, 0.0, 0.0]"
0.450000,"[0.4043217897415161, 0.6079361438751221, -10.897154808044434]","[2.2310636213174555, 2.174827670556152, -10.0]","[1.6014232635498047, 1.3110486268997192, -2.5071818828582764]","[0.59340747014548, 0.21439232591857724, 0.22107337196966248, 0.0]","[1.217253565788269, 1.3399550914764404, 3.4114508628845215]","[1.7640790939331055, 2.3193697929382324, -1.0013418197631836]","[0.0, 0.0, 0.0]"
0.460000,"[0.42861366271972656, 0.6279166340827942, -10.934697151184082]","[2.2797752353518854, 2.2197405348276003, -10.0]","[1.637285828590393, 1.3528757095336914, -2.4981629848480225]","[0.5835732556205312, 0.20980587064364642, 0.21831308086672896, 0.0]","[1.1579961776733398, 1.3220566511154175, 3.5369644165039062]","[1.6812572479248047, 2.2767527103424072, -0.8113555908203125]","[0.0, 0.0, 0.0]"
0.470000,"[0.4534359872341156, 0.6485191583633423, -10.972088813781738]","[2.328429855124169, 2.2644314268953427, -10.0]","[1.6721203327178955, 1.3939379453659058, -2.4869649410247803]","[0.5728209218635691, 0.20514643520636872, 0.21566473424018187, 0.0]","[1.0635311603546143, 1.2788068056106567, 3.748889684677124]","[1.6168272495269775, 2.2475972175598145, -0.6625146865844727]","[0.0, 0.0, 0.0]"
0.480000,"[0.478772908449173, 0.6697312593460083, -11.009296417236328]","[2.3770262642713473, 2.308895877707416, -10.0]","[1.705898642539978, 1.4341541528701782, -2.4735846519470215]","[0.5627121855597499, 0.20041627546520238, 0.21317796030657238, 0.0]","[0.9634220600128174, 1.229225516319275, 3.9472815990448]","[1.5554475784301758, 2.214447498321533, -0.5265789031982422]","[0.0, 0.0, 0.0]"
0.490000,"[0.5046086311340332, 0.6915401816368103, -11.046284675598145]","[2.4255632478857216, 2.3531294408557915, -10.0]","[1.7386319637298584, 1.4735171794891357, -2.457869052886963]","[0.5535085210893446, 0.19561590716545668, 0.21086080722683107, 0.0]","[0.8629289269447327, 1.1765260696411133, 4.118528366088867]","[1.4933571815490723, 2.1769888401031494, -0.3901653289794922]","[0.0, 0.0, 0.0]"
0.500000,"[0.5309278964996338, 0.7139332890510559, -11.08302116394043]","[2.4740395925452305, 2.397127693021016, -10.0]","[1.7703877687454224, 1.512033462524414, -2.4399046897888184]","[0.545224917116595, 0.1907587749472068, 0.2086821083642091, 0.0]","[0.7724733352661133, 1.1196800470352173, 4.265594482421875]","[1.4328413009643555, 2.1400279998779297, -0.2504281997680664]","[0.0, 0.0, 0.0]"
0.510000,"[0.5577166080474854, 0.7368976473808289, -11.119471549987793]","[2.5224540863437817, 2.4408862344145383, -10.0]","[1.8012281656265259, 1.549686312675476, -2.419896125793457]","[0.5373526845814909, 0.1858587907376281, 0.20662051530549075, 0.0]","[0.6771842241287231, 1.0525689125061035, 4.416426181793213]","[1.3767235279083252, 2.1042070388793945, -0.11754512786865234]","[0.0, 0.0, 0.0]"
