filename,method,condition,phase,t0_seconds,n_samples,mae_x,mae_y,mae_z,mae_3d,rmse_3d
simpleflight_fig8_metapinn_13p5wind,Meta-PINN,13p5wind,trans,20.000000,1998,0.925450,0.989536,2.214595,2.844293,3.387244
simpleflight_fig8_metapinn_13p5wind,Meta-PINN,13p5wind,steady,20.000000,4001,0.837183,0.821594,0.575069,1.446671,1.484884
simpleflight_fig8_metapinn_15wind,Meta-PINN,15wind,all,20.000000,5999,0.865084,0.874254,1.430516,2.139176,2.494583
simpleflight_fig8_metapinn_15wind,Meta-PINN,15wind,trans,20.000000,1998,0.926862,0.990238,2.520412,3.094531,3.600401
simpleflight_fig8_metapinn_15wind,Meta-PINN,15wind,steady,20.000000,4001,0.834234,0.816334,0.886249,1.662096,1.690320
simpleflight_fig8_metapinn_18sint,Meta-PINN,18sint,all,20.000000,5999,0.865184,0.888997,1.140705,1.948805,2.358011
simpleflight_fig8_metapinn_18sint,Meta-PINN,18sint,trans,20.000000,1998,0.925340,0.979277,1.890431,2.588674,3.181334
simpleflight_fig8_metapinn_18sint,Meta-PINN,18sint,steady,20.000000,4001,0.835143,0.843914,0.766310,1.629270,1.811830
simpleflight_fig8_metapinn_gusts,Meta-PINN,gusts,all,20.000000,5999,0.864291,0.909626,1.108693,1.826992,2.177796
simpleflight_fig8_metapinn_gusts,Meta-PINN,gusts,trans,20.000000,1998,0.920775,0.994452,1.608102,2.334798,2.947878
simpleflight_fig8_metapinn_gusts,Meta-PINN,gusts,steady,20.000000,4001,0.836084,0.867266,0.859300,1.573407,1.664832
simpleflight_fig8_metapinn_ou15,Meta-PINN,ou15,all,20.000000,5999,0.866248,0.867387,1.289142,2.039931,2.387204
simpleflight_fig8_metapinn_ou15,Meta-PINN,ou15,trans,20.000000,1998,0.921233,0.959163,2.173598,2.812606,3.333053
simpleflight_fig8_metapinn_ou15,Meta-PINN,ou15,steady,20.000000,4001,0.838790,0.821557,0.847467,1.654077,1.731149
simpleflight_fig8_metapinn_10sint,Meta-PINN,10sint,all,20.000000,5999,0.864033,0.893170,0.933082,1.734799,2.115891
simpleflight_fig8_metapinn_10wind,Meta-PINN,10wind,all,20.000000,5999,0.862846,0.884653,0.933637,1.747192,2.144510
simpleflight_fig8_metapinn_12wind,Meta-PINN,12wind,all,20.000000,5999,0.864922,0.880013,0.975549,1.787479,2.182978
simpleflight_fig8_metapinn_5wind,Meta-PINN,5wind,all,20.000000,5999,0.865181,0.898119,0.999814,1.763606,2.125478
simpleflight_fig8_metapinn_10sint,Meta-PINN,10sint,trans,20.000000,1998,0.926202,0.990101,1.603287,2.354161,2.977634
simpleflight_fig8_metapinn_10wind,Meta-PINN,10wind,trans,20.000000,1998,0.919674,0.987525,1.769070,2.489352,3.096853
simpleflight_fig8_metapinn_12wind,Meta-PINN,12wind,trans,20.000000,1998,0.924736,0.989916,1.919528,2.610112,3.190102
simpleflight_fig8_metapinn_5wind,Meta-PINN,5wind,trans,20.000000,1998,0.925994,0.994377,1.560850,2.317114,2.935337
simpleflight_fig8_metapinn_10sint,Meta-PINN,10sint,steady,20.000000,4001,0.832987,0.844765,0.598398,1.425504,1.511649
simpleflight_fig8_metapinn_10wind,Meta-PINN,10wind,steady,20.000000,4001,0.834467,0.833281,0.516443,1.376576,1.451295
simpleflight_fig8_metapinn_12wind,Meta-PINN,12wind,steady,20.000000,4001,0.835052,0.825130,0.504148,1.376677,1.436347
simpleflight_fig8_metapinn_5wind,Meta-PINN,5wind,steady,20.000000,4001,0.834812,0.850050,0.719646,1.487198,1.571924
