,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
4288,85.76,"[-0.5625067707989209, -0.46109501810726927, 2.0141128885584934]","[-0.5816301544803829, -0.4602227465022657, 1.978372636166412]","[-0.911267528610201, 0.4460620807449437, 0.03708199992419042]","[-0.8799707372417513, 0.28076896189502654, -0.08099915947255933]","[0.023678574059660756, -0.04328316904967938, 0.004007064722896289, -0.998771016972341]","[[0.9962147299227867, 0.005954512768962939, 0.08664971269667397], [-0.010054047664481537, 0.9988402456297553, 0.04695207006845628], [-0.08627018638146215, -0.04764582390763279, 0.9951254933191759]]","[0.43080977643709706, 0.32010037924816187, -0.021662132364279715]",[0.4562821273708594],"[-0.016900139561244136, -0.06147394518595576, 0.0, -0.997961750543371]",[0.44080488145289526],"[2.23803183136439, -0.5745920314676072, 1.0134423061239453]","[956.730186138691, 995.9719719563708, 985.0598066802811, 964.5061064593688]"
4289,85.78,"[-0.580705195288131, -0.45230733035160975, 2.0147195579693413]","[-0.5989879804424642, -0.4545537157676396, 1.9768852022797805]","[-0.8763672948138443, 0.4567388589212387, 0.05256462898306137]","[-0.8508640678751417, 0.2842339199922929, -0.0675600898361893]","[0.019345018007382187, -0.046349978574292884, 0.003929265544669857, -0.9987271750007698]","[[0.9956664401651663, 0.006055246214189026, 0.09273398975113434], [-0.009641810894834924, 0.9992146217494292, 0.038276547622087355], [-0.09242994290026463, -0.039005033117319975, 0.9949488589771954]]","[0.4295177019062461, 0.30274788472918607, -0.021528169363723523]",[0.4540217044044214],"[-0.022159871206315684, -0.062417586231514825, 0.0, -0.9978017601054859]",[0.4407971157347283],"[1.816477366864628, -0.18661638243867262, 0.6454714616675616]","[967.46765025836, 980.9822443568157, 983.2828766657615, 960.1670179494142]"
4290,85.8,"[-0.5982079939309727, -0.4434788895803636, 2.015556247460421]","[-0.6160097464714783, -0.4487385183873843, 1.9756425102411224]","[-0.8459273001970805, 0.4562669119558968, 0.05664272399892115]","[-0.8206528971486672, 0.2864485048177259, -0.05477704210222209]","[0.014645877756339732, -0.0495020287330272, 0.0038906040997520822, -0.9986544221502432]","[[0.9950595689665435, 0.006320736655077099, 0.09898480242337859], [-0.009220739301136033, 0.9995314671934071, 0.028867155583411592], [-0.09875687717520545, -0.029637526767150636, 0.9946608390965582]]","[0.43500855384439885, 0.28782169074141306, -0.023676033697152963]",[0.45334548584692475],"[-0.025376782721425607, -0.06396071742910986, 0.0, -0.9976293746131978]",[0.4407893500165614],"[1.5863713100118018, -1.2770357545640962, 0.11196558653107758]","[971.439937688197, 972.4425530739748, 979.3154329683532, 958.9378513429637]"
4291,85.82000000000001,"[-0.615039090408964, -0.4345971402885421, 2.0165952140996644]","[-0.6324170372343998, -0.44289124577102723, 1.9746488747862216]","[-0.8111338078567182, 0.45221126070517736, 0.06601190498403421]","[-0.789872077516963, 0.2873892439198541, -0.04286304855788908]","[0.009895550739285195, -0.05242328039669515, 0.0038472656686167977, -0.9985668370299347]","[[0.9944706481597264, 0.006645989357678521, 0.10477244021018513], [-0.008721018282019608, 0.99977120496596, 0.019359365030981544], [-0.10462015695965989, -0.020166110178607453, 0.9943044072171087]]","[0.4416350483208866, 0.25984755497786227, -0.019479849342656716]",[0.4517829226534914],"[-0.028141591093983682, -0.06466715086469747, 0.0, -0.9975066762029291]",[0.4407815842983944],"[2.112445182177126, -0.4793401423501846, 1.2951450158512579]","[959.167095131833, 976.6108850990091, 978.4515817263085, 951.790003286623]"
4292,85.84,"[-0.6312055493314468, -0.4257274483723958, 2.017809416802218]","[-0.6478188754667107, -0.4371793158809941, 1.973904279857456]","[-0.7730854044425288, 0.4558589723417878, 0.08035909032654047]","[-0.7593649203390387, 0.2870980418460502, -0.032087414572521414]","[0.006157215021841157, -0.05449397402024637, 0.00381282407728765, -0.9984850381113258]","[[0.9940261517970373, 0.006943033357370115, 0.10886978820825521], [-0.008285157819119246, 0.9998895156124256, 0.011880222279062425], [-0.10877588269751795, -0.012711326023908356, 0.9939794044582756]]","[0.44373355445259854, 0.24389234955528577, -0.021114764883317726]",[0.4492484521819622],"[-0.03265534324455092, -0.06471116681824257, 0.0, -0.9973687465940895]",[0.44077381858022746],"[1.9782837349490316, -0.36687105377256995, 0.5196993566107082]","[968.5515308354834, 962.7479371551484, 964.3141873334913, 963.9378755113603]"
4293,85.86,"[-0.6466961788598162, -0.4168853303413291, 2.019199866412888]","[-0.6624542112157481, -0.4315455923548864, 1.9733706105687976]","[-0.738215022698206, 0.45026849453238454, 0.07971484142357087]","[-0.7288033011249977, 0.2856628410274432, -0.02225739384995263]","[0.00175607871072281, -0.05678461781787362, 0.0038008764485885516, -0.9983750605252042]","[[0.993516905808644, 0.0073899639919238385, 0.11339804177806723], [-0.007788837025709834, 0.9999597238252115, 0.0030747877451977003], [-0.11337134322521342, -0.003938113011221931, 0.9935396315073224]]","[0.44168595936577754, 0.21942789496112436, -0.02406853223138499]",[0.44874994627826253],"[-0.03536095988096501, -0.06496838146743258, 0.0, -0.9972597464114904]",[0.4407660528620605],"[1.5506717438987883, -0.8696151822826284, 0.06185129694542724]","[958.0196781572348, 968.3466009871956, 962.9110016453261, 959.7423973674782]"
4294,85.88,"[-0.6614970979744913, -0.4080975822139878, 2.0207369809410327]","[-0.6766704977451816, -0.4258737463260651, 1.9730204987260358]","[-0.7034001959808696, 0.44551765789122744, 0.0882723386417183]","[-0.6975072090745714, 0.2830703825367836, -0.01313850600811165]","[-0.0026293856872155246, -0.0588147775699761, 0.003781578527419093, -0.9982557616361234]","[[0.9930480009120441, 0.007859258574829633, 0.1174044947002412], [-0.0072406716374725935, 0.9999525296950714, -0.005694424223560014], [-0.11744426761406151, 0.004804773423745808, 0.993062774246178]]","[0.4365047679218457, 0.19866425811037794, -0.023298333418587277]",[0.44690593488413455],"[-0.03847022736886208, -0.06525227381821427, 0.0, -0.9971251401208516]",[0.4407582871438936],"[1.6937644420150835, -0.39058831218886725, 1.1513517326537297]","[958.5788540943845, 960.1140909730057, 967.1727539488384, 949.8234743914281]"
4295,85.9,"[-0.6755869113117327, -0.399406831191678, 2.0223859899905823]","[-0.6904257726720123, -0.42019785913630375, 1.9728403467961955]","[-0.6662294482164604, 0.44104666002647913, 0.09654252030378113]","[-0.6656213250878606, 0.2793557004465552, -0.00475345881553477]","[-0.007258033237870692, -0.060817305154177805, 0.0037600642266248136, -0.9981120411448263]","[[0.9925674430355688, 0.008388758804637766, 0.12135038782646161], [-0.006623102715650777, 0.9998595741550375, -0.014946014686436117], [-0.12145955051099509, 0.014031306792556323, 0.9924903611085814]]","[0.42236933148905575, 0.18366409596200814, -0.02347507315602316]",[0.4449630596362559],"[-0.04175073913399766, -0.06487789784749878, 0.0, -0.9970190066058541]",[0.4407505214257267],"[1.5959760665130034, -0.5684651613664846, 0.2786646440806777]","[975.4333425773428, 941.1260785163391, 952.3217367189541, 964.5558029291943]"
4296,85.92,"[-0.6889921243702666, -0.3908217246120307, 2.0241322728326496]","[-0.7033496024262647, -0.41468621025482105, 1.9728219899583703]","[-0.6312190242786739, 0.4311325571022763, 0.09419243549189966]","[-0.634042335093547, 0.2746362193733864, 0.0026728823732330596]","[-0.011612617347921761, -0.06259620347845343, 0.003774328292986069, -0.99796313084826]","[[0.9921327331701515, 0.00898709247709095, 0.1248497467447205], [-0.006079469443379235, 0.9996995967866449, -0.02365044517539412], [-0.12502506606556804, 0.022705410688105162, 0.9918915185149395]]","[0.39961919820923225, 0.15491761398157147, -0.024098054884658108]",[0.44436357584037955],"[-0.04389938128674472, -0.06452786985396433, 0.0, -0.9969489784551526]",[0.4407427557075597],"[1.4929612744904261, -0.654716258042055, -0.09987571203674506]","[943.705480515203, 967.5095836098199, 967.3905186602576, 935.2110323119847]"
4297,85.94,"[-0.7017015851351622, -0.3823787091285937, 2.025943665323778]","[-0.7158946084645845, -0.4091676175610494, 1.972946350159994]","[-0.5940729268867555, 0.42231337678431397, 0.09712794614086855]","[-0.601766710915662, 0.26881411450756676, 0.009420519919274846]","[-0.015166635781384469, -0.06389753864414008, 0.0037847716915763462, -0.9978310983110524]","[[0.9917997076560296, 0.009491347179609633, 0.12740309782178677], [-0.005614904395839187, 0.999505444863738, -0.030751156869688635], [-0.1276327068368341, 0.02978380648800165, 0.9913683029676941]]","[0.3857661806700425, 0.1400125436862412, -0.024987520518879505]",[0.4428719917272328],"[-0.04640277827984674, -0.06362085151523111, 0.0, -0.9968940860272938]",[0.44073498998939276],"[1.5450305738080847, -0.49226282982848224, 0.7654757896092015]","[937.0794085546158, 966.8195826409298, 972.0779302391536, 922.4851198460449]"
4298,85.96000000000001,"[-0.713525766439377, -0.37422609521806655, 2.0277805603396324]","[-0.7277333561676614, -0.4037982969102979, 1.9731999074036315]","[-0.5580275377177584, 0.4112210626091932, 0.10192703418728737]","[-0.5696509922134351, 0.2620422163489431, 0.015308967092857721]","[-0.019592892200592793, -0.06526101556762896, 0.0037869722848337625, -0.9976670033551316]","[[0.9914499896963878, 0.010113578668233597, 0.1300691281950512], [-0.0049989704965625464, 0.9992002271526562, -0.03958864741212051], [-0.1303659191540247, 0.03860008078318165, 0.9907109091649918]]","[0.3823651601506246, 0.11532243353330737, -0.024888407760545028]",[0.44110874565635755],"[-0.04849013343557807, -0.06268805982505293, 0.0, -0.9968539651696045]",[0.44072722427122585],"[1.3570176191644632, -0.5315513527724498, 0.27710271735448444]","[939.6153091141227, 960.5377529177287, 950.8149048638104, 941.7425190805094]"
