,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
3498,69.96000000000001,"[-1.0191595466011756, 0.39403139046809726, 1.7099857921620207]","[-1.0256282171910203, 0.3813421926399003, 1.7432348731119671]","[-0.14125351042598225, 0.9749407895681454, -0.4872716387691897]","[-0.08595104702980347, 0.7041203288705995, -0.5154146968624034]","[-0.07681898477408938, 0.008437505582188122, -0.0047552793142297675, -0.9969883579251705]","[[0.9997931380782439, -0.01077823745563774, -0.016093598212267673], [0.008185595004240128, 0.9881332082356992, -0.15325551236631343], [0.017554781129213107, 0.15309502158327873, 0.988036050597513]]","[0.9071533966519262, 0.018006998836677966, -0.00828762402225697]",[0.5224726086797946],"[-0.1363293412222869, -0.0024636865150089752, 0.0, -0.9906595378960851]",[0.45269332008747337],"[0.0037959903525618954, -1.4940842539205352, 0.6865017691958322]","[1029.053128994682, 1129.6637420268733, 1028.9410171937939, 1150.9376009589366]"
3499,69.97999999999999,"[-1.0220634837421019, 0.4126723682655913, 1.700948194868027]","[-1.027383281573083, 0.3950688580274772, 1.7331106532191798]","[-0.14455980964826595, 0.9260137209509015, -0.45110129900773466]","[-0.08928571850614721, 0.6657004116217985, -0.4949988124922745]","[-0.0855400505228658, 0.008310044734339394, -0.004546361258569832, -0.9962807056392391]","[[0.9998026184282945, -0.010480587298403036, -0.01578048252013606], [0.00763722071271237, 0.9853065316283591, -0.17051936472154816], [0.017336066407149114, 0.17036824285979946, 0.9852097567427724]]","[0.8656946201117949, 0.018852152913800636, -0.012736806071624841]",[0.5244639837754873],"[-0.13906682386931798, -0.002682381391987133, 0.0, -0.9902784361586259]",[0.452693103708786],"[-0.15008414840394296, -1.5346671967737544, 1.154758548646523]","[1044.3374916945863, 1124.150785661768, 1022.6995323340061, 1165.4882352392547]"
3500,70.0,"[-1.0250950827248881, 0.4303690173518722, 1.6925819313135675]","[-1.0291679678260262, 0.4077674023710443, 1.723590022953225]","[-0.15127096226387737, 0.874930872919382, -0.4164252642531508]","[-0.09252126807078964, 0.6262981346564649, -0.4738838144590556]","[-0.09387617802011912, 0.008061270995600897, -0.004291138527851246, -0.9955339569047261]","[[0.9998171981901165, -0.01005747085861905, -0.015244866655164616], [0.007030425614413239, 0.9823216927709153, -0.18698302998802868], [0.016856209392562837, 0.186844661865818, 0.9822285523305168]]","[0.8198112698573647, 0.024785851651776408, -0.01722064018662217]",[0.526432874202286],"[-0.1435980670997595, -0.0034813084715376455, 0.0, -0.9896235591846965]",[0.45269288733009855],"[-0.5915536783553954, -1.2594053314622329, 0.25722279093681166]","[1039.3795646589424, 1145.085287016353, 1003.3659954895039, 1193.9679304496744]"
3501,70.01999999999998,"[-1.0282424968030581, 0.44711117203130823, 1.6848885204326944]","[-1.0310184617302192, 0.41967477383055174, 1.714492561872967]","[-0.15931795180839248, 0.8218301231463531, -0.38810774231521267]","[-0.09571685021468584, 0.5852240584380054, -0.45170268426087]","[-0.10090857066778826, 0.007774384183890968, -0.00404565894237228, -0.9948531203261454]","[[0.9998384622511672, -0.009618676836826266, -0.01465225740534804], [0.006480668853551477, 0.9795942650816126, -0.200841317806791], [0.01628522405048461, 0.200715507779211, 0.9795061176952912]]","[0.7651310022680786, 0.04657250768249534, -0.01793913896093253]",[0.5289512965604733],"[-0.14608283386621815, -0.004580654561650981, 0.0, -0.9892600800476472]",[0.45269267095141114],"[-0.38658357517898295, -0.9562939032705717, 1.1444368664220121]","[1054.299749673413, 1141.8664997822755, 1019.1662494556886, 1182.8337505443114]"
3502,70.03999999999999,"[-1.0315102288685813, 0.4627817199560878, 1.6778997834419105]","[-1.0329981084661213, 0.4311151018877787, 1.7055581684379324]","[-0.1638832860745946, 0.767733384854675, -0.34152762583310076]","[-0.09896707399370742, 0.541177448003308, -0.4277466609161635]","[-0.10779831721723247, 0.0073715027954261445, -0.0037623178644660537, -0.9941291947461592]","[[0.9998448389523379, -0.009069731251379581, -0.013845309206920566], [0.005891188864543328, 0.9767125626695297, -0.2143863764536271], [0.015467595345423654, 0.2142754407070063, 0.9766321946340303]]","[0.7045136349591367, 0.05445459471048072, -0.018420490120998036]",[0.5288207207634906],"[-0.14530199597972232, -0.005213270739336562, 0.0, -0.9893724967636205]",[0.4526924545727238],"[-0.25243333810192736, -0.963305197364698, 2.712086962259143]","[1047.5305263174084, 1157.4213236065966, 1014.3894944201498, 1194.4501193413855]"
3503,70.06,"[-1.0348921035485406, 0.4772208058113314, 1.6716353686547574]","[-1.0350507438069576, 0.44170021058122494, 1.6970794198064612]","[-0.17005907188686636, 0.7077549629285846, -0.2960355120877064]","[-0.10216723634023044, 0.49551915963918286, -0.40275177008447466]","[-0.11534563308509609, 0.006811190341478937, -0.003420626575838869, -0.9932913657898008]","[[0.9998742594243304, -0.00836663981074572, -0.012741884438008149], [0.005224075562741801, 0.9733578139084629, -0.22919023992735899], [0.014320101789759503, 0.22909704577257833, 0.9732884306530698]]","[0.6410507163061999, 0.04978738587554132, -0.019918977244840038]",[0.5284551212535935],"[-0.14637735562171766, -0.0061020067977462416, 0.0, -0.9892094760107447]",[0.45269223819403637],"[-0.4808668022335308, -1.6253132421798844, 1.9501977656156733]","[1043.9023724187923, 1172.0976019360496, 1013.8466459588119, 1204.0552394298418]"
3504,70.07999999999998,"[-1.038384650374353, 0.4903656831313708, 1.6661324765167542]","[-1.0371258189554173, 0.45115709537341514, 1.689272697602981]","[-0.17620692908601324, 0.639404471641103, -0.25769263246404006]","[-0.10523254199093486, 0.44948915972534353, -0.37739884101820376]","[-0.12059325035794163, 0.006291971641618492, -0.0031531559897917056, -0.9926751069707899]","[[0.9998970687315274, -0.007777657541769671, -0.011731268585412437], [0.004742580296078601, 0.9708907824820189, -0.23945951453418862], [0.013252265904190815, 0.23938015626191117, 0.9708314894531329]]","[0.5828368511976891, 0.07202185941119946, -0.016809641159466503]",[0.5283310933943122],"[-0.14567966528994597, -0.007024341554607403, 0.0, -0.9893068621433828]",[0.45269202181534896],"[-0.2593450767478558, -1.7404345569923825, 1.92615204621422]","[1064.9826903431865, 1153.3054967506441, 1031.5633919450509, 1183.868888695695]"
3505,70.1,"[-1.0419604609081654, 0.5022199590737647, 1.6613700278599783]","[-1.0392598623661815, 0.45967504294775674, 1.6819865523054112]","[-0.1792378385816461, 0.5726452801874011, -0.21506929680273343]","[-0.10821567928992958, 0.4023875797990224, -0.3513082333864183]","[-0.12549628639225677, 0.005480442083321058, -0.00286944891923769, -0.9920699153229934]","[[0.9999137658046898, -0.007068938151152851, -0.010153753060352573], [0.004317837634174308, 0.9684752004990524, -0.24903363212625845], [0.011594173793778991, 0.24897072873180676, 0.9684315974823954]]","[0.5159753853432812, 0.09236599637426604, -0.014798508931623966]",[0.5274319838195108],"[-0.14524973590937484, -0.007446956174379734, 0.0, -0.9893666865143219]",[0.4526934643060201],"[0.030968529934557842, -1.4689345514538834, 1.794673499590452]","[1069.7487109943472, 1147.6048533033133, 1033.6629557041863, 1178.826862987865]"
3506,70.12,"[-1.0456135674434337, 0.5127440211715151, 1.6573316823460984]","[-1.0414470058983338, 0.4672263322404266, 1.6752436617718163]","[-0.18153719738956106, 0.5028224003113302, -0.18187903265871183]","[-0.11110343553688647, 0.35445448602721624, -0.3246148381237799]","[-0.13079570300633314, 0.004433772855246918, -0.002553228049725589, -0.9913938661783831]","[[0.9999431365058369, -0.006222346130049924, -0.008123327910041328], [0.003902672379760254, 0.9657674213394589, -0.25936275623237665], [0.009459132940838716, 0.2593174744994961, 0.9657411426029429]]","[0.4418387314064989, 0.09425555424641384, -0.015777456359876218]",[0.5274091818157509],"[-0.1437759045369585, -0.007767048149069789, 0.0, -0.9895794571291995]",[0.4526980649428568],"[-0.31536856897697424, -1.4770976736953658, 0.41614571609980544]","[1061.0810484669462, 1156.9966185826624, 1038.2173034961893, 1172.4850813676248]"
3507,70.13999999999999,"[-1.0493427662226393, 0.5220668981358355, 1.6539771097676936]","[-1.0436937883037338, 0.4739373293002395, 1.6689600617112135]","[-0.18765946571717448, 0.4315613584726089, -0.15454191746148635]","[-0.11391593504850679, 0.305600154435838, -0.29728282614086593]","[-0.13468360058932727, 0.0034862705794287234, -0.002294926600059768, -0.9908797043397944]","[[0.9999648399695713, -0.005487079330429707, -0.006290771566817169], [0.003608905433365304, 0.9637098035992664, -0.26692649413291863], [0.0075271274771542595, 0.26689449119256764, 0.9636960288103598]]","[0.37363453726912244, 0.10351970828542774, -0.01107235637073558]",[0.5277671154573581],"[-0.14165605742918158, -0.008791330920680233, 0.0, -0.9898766530176426]",[0.4527039203118938],"[-0.6533862001496049, -1.6748410631391373, 1.8785815675959796]","[1073.0594040906694, 1143.0083798953813, 1039.0167597907625, 1167.5849161883136]"
3508,70.16,"[-1.0531582533000776, 0.5295416314164667, 1.6515299535903252]","[-1.0453881890914765, 0.4779771422269681, 1.664849133183771]","[-0.19267149530817976, 0.3562329310643825, -0.10583603673503045]","[-0.11588148029103945, 0.26925395330661095, -0.2768267458465446]","[-0.13769521809232368, 0.002597863257540219, -0.001981081663986448, -0.9904666480105263]","[[0.9999734803286361, -0.004639817325969615, -0.0046006228818085], [0.0032089639346854753, 0.9620670319446607, -0.2727753353804946], [0.005691764768933769, 0.27275474906343433, 0.9620613835267697]]","[0.3115279746518956, 0.09198200906473811, -0.01682463929629474]",[0.5246505009476616],"[-0.13928431461622048, -0.009738619321123701, 0.0, -0.9902028775204786]",[0.45270977568093085],"[-0.08734273497688175, -1.6424012583087482, 3.040388675593011]","[1065.740054956657, 1152.4643448658733, 1017.9455796258951, 1187.577115453702]"
